Namespace(batch=1, ckpt='checkpoints/full_imu_tartan_v2_200_final_000200.pth', clip=2.5, datapath='/home/ubuntu/SLAM/datasets/tartanair_v2', datasets=['tartan_v2'], disable_flow_loss=False, edges=24, eval_only=False, fmax=96.0, fmin=8.0, freeze_non_imu=True, gpus=1, imu_acc_bias_init=None, imu_ba_weight=0.02, imu_bias_init=None, imu_conf_floor=0.0, imu_full_bias_weight=0.001, imu_full_pos_weight=0.05, imu_full_vel_weight=0.05, imu_gamma=0.9, imu_max_residual=0.5, imu_prior_name='imu_prior.csv', imu_require=False, imu_smooth_beta=0.05, iters=5, log_freq=100, lr=5e-05, n_frames=7, name='full_imu_tartan_v2_long_20k', noise=False, num_workers=0, restart_prob=0.2, save_final=True, save_freq=1000, scale=False, steps=20000, use_full_imu_ba=True, use_imu_ba=True, use_imu_loss=True, w1=10.0, w2=0.01, w3=0.05, w_imu=0.05, w_imu_bias=0.0001, world_size=1)
[TRAIN] freeze_non_imu=True, trainable_parameters=148744
Building TartanAir V2 dataset: trajectories=7, frames=500, camera=lcam_front
Dataset tartan_v2 has 458 images
['rot_error', 'tr_error', 'bad_rot', 'bad_tr', 'residual', 'f_error', '1px', 'imu_rot_loss', 'imu_rot_error', 'imu_edges', 'imu_bias_norm', 'imu_bias_x', 'imu_bias_y', 'imu_bias_z', 'imu_acc_bias_norm', 'imu_acc_bias_x', 'imu_acc_bias_y', 'imu_acc_bias_z', 'imu_conf_mean', 'imu_conf_min', 'imu_conf_max', 'imu_ba_weight']
[   100,  0.0000262]     0.9626,     0.0565,     0.6704,     0.7934,     6.2843,    18.5218,     0.4912,     0.2972,    10.6413,    29.8400,     0.0021,    -0.0007,    -0.0003,    -0.0020,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.4732,     0.4481,     0.5009,     0.0200, 
[   200,  0.0000500]     1.0818,     0.0571,     0.6570,     0.8003,     6.3951,    15.8268,     0.5231,     0.2831,    10.1104,    29.7900,     0.0025,    -0.0009,    -0.0002,    -0.0023,     0.0000,    -0.0000,     0.0000,    -0.0000,     0.4441,     0.4180,     0.4706,     0.0200, 
[   300,  0.0000500]     0.7488,     0.0465,     0.6878,     0.8166,     6.0292,    17.8946,     0.5312,     0.2944,    10.3730,    29.8700,     0.0029,    -0.0008,    -0.0005,    -0.0027,     0.0000,     0.0000,    -0.0000,     0.0000,     0.4005,     0.3675,     0.4360,     0.0200, 
[   400,  0.0000500]     1.1828,     0.0708,     0.6773,     0.8134,     6.4623,    21.8122,     0.5107,     0.2849,    10.1195,    29.8700,     0.0041,    -0.0016,    -0.0014,    -0.0035,     0.0000,     0.0000,    -0.0000,     0.0000,     0.4782,     0.4342,     0.5242,     0.0200, 
[   500,  0.0000500]     1.0224,     0.0557,     0.6652,     0.7727,     6.4543,    20.3344,     0.5014,     0.3108,    11.0176,    29.9400,     0.0061,    -0.0026,    -0.0016,    -0.0053,     0.0000,     0.0000,     0.0000,     0.0000,     0.5731,     0.5187,     0.6260,     0.0200, 
[   600,  0.0000499]     1.1206,     0.0483,     0.6833,     0.8258,     6.2778,    17.6983,     0.5201,     0.2889,    10.3838,    29.8500,     0.0071,    -0.0028,    -0.0014,    -0.0064,     0.0000,     0.0000,    -0.0000,     0.0000,     0.5749,     0.5167,     0.6366,     0.0200, 
[   700,  0.0000499]     1.2489,     0.0673,     0.6614,     0.8053,     6.2871,    21.3064,     0.5215,     0.2885,    10.2439,    29.7900,     0.0086,    -0.0036,    -0.0013,    -0.0078,     0.0000,     0.0000,    -0.0000,     0.0000,     0.5698,     0.5031,     0.6371,     0.0201, 
[   800,  0.0000499]     0.8557,     0.0637,     0.6895,     0.8213,     6.2457,    19.1124,     0.5320,     0.2919,    10.3472,    29.8800,     0.0089,    -0.0038,    -0.0014,    -0.0079,     0.0001,     0.0000,    -0.0000,     0.0000,     0.5156,     0.4462,     0.5908,     0.0201, 
[   900,  0.0000498]     1.3762,     0.0641,     0.6714,     0.8078,     6.4807,    21.9107,     0.5015,     0.3086,    10.9272,    29.7900,     0.0091,    -0.0039,    -0.0028,    -0.0077,     0.0001,     0.0000,    -0.0000,     0.0000,     0.6729,     0.5925,     0.7543,     0.0201, 
[  1000,  0.0000498]     1.0278,     0.0512,     0.6469,     0.7777,     6.0471,    17.4996,     0.5000,     0.2965,    10.5875,    29.9000,     0.0092,    -0.0036,    -0.0029,    -0.0080,     0.0000,    -0.0000,     0.0000,     0.0000,     0.7431,     0.6793,     0.8077,     0.0201, 
