frame_id,frame_index,filename,timestamp_sec,timestamp_ns,prev_timestamp_sec,prev_timestamp_ns,dt,imu_count,imu_used_steps,dr_x,dr_y,dr_z,dr_norm,dr_norm_deg,dq_w,dq_x,dq_y,dq_z,dv_x,dv_y,dv_z,dp_x,dp_y,dp_z,gyro_norm_mean,acc_norm_mean,imu_weight,imu_valid,imu_reason,integration_method,dr_raw_x,dr_raw_y,dr_raw_z
0,0,1413394881555760384.png,1413394881.5557604,1413394881555760384,0.0,,0.0,0,0,-0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,first_frame,boundary_interp_midpoint_so3,0.0,0.0,0.0
1,1,1413394881605760512.png,1413394881.6057603,1413394881605760512,1413394881.5557604,1.4133948815557604e+18,0.050000128,0,0,-0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,outside_imu_range,boundary_interp_midpoint_so3,0.0,0.0,0.0
2,2,1413394881655760384.png,1413394881.6557603,1413394881655760384,1413394881.6057603,1.4133948816057605e+18,0.049999872,11,10,-0.0011090520888123103,0.0004010913543971964,-0.004187865829196202,0.004350757522,0.249280044,0.999997633865,4.2079758e-05,0.000577521574,0.002096893754,0.472374961546,-0.00319731868,-0.134467403827,0.011734410194,0.000112436275,-0.0033882969,0.101739435882,9.856783591086,0.001,1,ok,boundary_interp_midpoint_so3,8.4159583e-05,0.001155044059,0.004193790815
3,3,1413394881705760512.png,1413394881.7057605,1413394881705760512,1413394881.6557603,1.4133948816557604e+18,0.050000128,11,10,-0.0011869094551714367,0.0006448710181078273,-0.0038198321595547652,0.004051633055,0.232141474,0.999997948034,0.000175687833,0.000617422347,0.001921418856,0.471864766836,-0.013260660861,-0.132896447827,0.011728058741,-3.4145925e-05,-0.003342219728,0.109595388564,9.858447519079,0.001,1,ok,boundary_interp_midpoint_so3,0.000351375907,0.001234845539,0.00384284034
4,4,1413394881755760384.png,1413394881.7557604,1413394881755760384,1413394881.7057605,1.4133948817057605e+18,0.049999872,11,10,-0.0012120803233645937,0.0003189276200230461,-0.003909492399472722,0.004105482232,0.235226805,0.999997893128,9.754267e-06,0.000626882772,0.001954651635,0.470540543926,0.007486028428,-0.136134956375,0.011706164735,0.000548825401,-0.003385491156,0.118588608388,9.909582065287,0.001,1,ok,boundary_interp_midpoint_so3,1.9508548e-05,0.001253766425,0.003909306016
5,5,1413394881805760512.png,1413394881.8057606,1413394881805760512,1413394881.7557604,1.4133948817557604e+18,0.050000128,11,10,-0.001443936828238881,4.8959931222941914e-05,-0.004257558876179537,0.004496015817,0.257602731,0.999997473231,-0.000139458831,0.000741423471,0.002117633942,0.471321561766,-0.008638812137,-0.130889972937,0.011735675145,-7.9979733e-05,-0.003300320762,0.106407555845,9.804369333869,0.001,1,ok,boundary_interp_midpoint_so3,-0.000278917897,0.001482848191,0.004235271452
6,6,1413394881855760384.png,1413394881.8557603,1413394881855760384,1413394881.8057606,1.4133948818057605e+18,0.049999872,11,10,-0.0011214473378536522,0.0002896542113853767,-0.003925992448077808,0.00409328235,0.234527803,0.999997905631,-4.470738e-06,0.000581336336,0.001962335937,0.466755229787,-0.001553391475,-0.135305217536,0.011602666755,4.89987e-05,-0.003392662198,0.097652240648,9.745316029623,0.001,1,ok,boundary_interp_midpoint_so3,-8.941483e-06,0.001162673483,0.003924674613
7,7,1413394881905760512.png,1413394881.9057603,1413394881905760512,1413394881.8557603,1.4133948818557604e+18,0.050000128,11,10,-0.0011457046162198358,-8.52782515969195e-05,-0.004057568004295722,0.004217080691,0.241620925,0.99999777703,-0.000196288429,0.000589998658,0.002014772503,0.470958142659,-0.004424678285,-0.13324654147,0.011795270188,-6.264322e-05,-0.003346859736,0.096067637866,9.80855614146,0.001,1,ok,boundary_interp_midpoint_so3,-0.000392577148,0.00117999819,0.004029547991
8,8,1413394881955760384.png,1413394881.9557605,1413394881955760384,1413394881.9057603,1.4133948819057605e+18,0.049999872,11,10,-0.0012024810437924604,0.0004153002799834694,-0.004290815516500426,0.004475436602,0.256423629,0.999997496309,4.4589948e-05,0.000624839244,0.002148246376,0.469069725708,-0.00417235337,-0.130348949985,0.011710819589,-8.6979651e-05,-0.003259668955,0.097155835994,9.747425892261,0.001,1,ok,boundary_interp_midpoint_so3,8.9179971e-05,0.001249679531,0.004296496338
9,9,1413394882005760512.png,1413394882.0057604,1413394882005760512,1413394881.9557605,1.4133948819557604e+18,0.050000128,11,10,-0.0011788771467134485,-0.00043984247501319606,-0.004011194134040546,0.004203913785,0.240866517,0.999997790889,-0.000371825269,0.000602538321,0.001979118443,0.473393929493,0.003716659101,-0.136068675723,0.011856329304,9.2201532e-05,-0.003450173293,0.097786767619,9.888869842133,0.001,1,ok,boundary_interp_midpoint_so3,-0.000743651086,0.001205077529,0.003958239801
